"restaurant_name","total_revenue"
"Delhi Darbar 176","13877.56"
"Burger Factory 92","13162.58"
"Urban Tadka 288","12386.44"
"Golden Spoon 41","11065.40"
"Saffron Delight 71","11001.43"
"Saffron Delight 212","10926.50"
"Pizza Junction 213","9479.48"
"Chai & Chat 200","9419.76"
"The Food Studio 147","9413.07"
"Mumbai Masala 252","9088.22"
"Spice Villa 295","8926.39"
"Pizza Junction 161","8906.70"
"Spice Villa 253","8782.96"
"Kolkata Kitchen 56","8725.18"
"Punjabi Dhaba 112","8374.05"
"The Food Studio 86","8230.37"
"Dragon Wok 215","8108.65"
"Biryani House 201","8083.05"
"Pizza Junction 156","7956.84"
"Mumbai Masala 146","7868.08"
"Bombay Bistro 296","7841.98"
"Punjabi Dhaba 276","7791.88"
"Delhi Darbar 120","7763.58"
"Biryani House 285","7662.93"
"Chai & Chat 284","7649.69"
"Dragon Wok 242","7591.44"
"Golden Spoon 249","7541.99"
"Dragon Wok 158","7537.08"
"Annapurna Bhavan 168","7496.39"
"Mughal Mahal 237","7457.34"
"Delhi Darbar 155","7374.86"
"Golden Spoon 74","7271.42"
"Delhi Darbar 174","7169.82"
"Masala Magic 55","7137.17"
"The Curry Leaf 103","7027.01"
"South Spice 93","6982.75"
"Annapurna Bhavan 300","6956.08"
"The Curry Leaf 142","6948.59"
"Urban Tadka 259","6866.20"
"Masala Magic 63","6786.59"
"Chutney Express 172","6740.17"
"Dragon Wok 184","6702.09"
"Punjabi Dhaba 136","6686.82"
"Flavours of India 35","6658.59"
"Chutney Express 177","6648.56"
"Punjabi Dhaba 233","6567.24"
"South Spice 291","6539.18"
"Mughal Mahal 164","6519.98"
"Urban Tadka 269","6514.41"
"The Food Studio 90","6476.27"
"Burger Factory 88","6297.51"
"Annapurna Bhavan 218","6292.83"
"Punjabi Dhaba 196","6271.64"
"Masala Magic 69","6266.34"
"Golden Spoon 293","6241.83"
"Mumbai Masala 135","6176.70"
"Burger Factory 292","6170.30"
"Dragon Wok 52","6141.66"
"Curry Kingdom 12","6136.88"
"The Hungry Panda 85","6110.71"
"Dragon Wok 79","6104.44"
"The Food Studio 104","6095.20"
"Flavours of India 251","6030.77"
"Curry Kingdom 91","6016.86"
"Chai & Chat 60","6008.48"
"The Curry Leaf 230","5974.01"
"Burger Factory 236","5930.62"
"The Hungry Panda 268","5905.06"
"Kolkata Kitchen 122","5891.62"
"Dragon Wok 84","5886.62"
"Delhi Darbar 24","5863.55"
"South Spice 219","5813.48"
"South Spice 34","5793.37"
"Mumbai Masala 96","5772.33"
"South Spice 3","5731.05"
"Golden Spoon 44","5708.91"
"Taste of Punjab 267","5697.45"
"Golden Spoon 203","5692.39"
"The Curry Leaf 193","5691.44"
"Kolkata Kitchen 73","5650.35"
"Biryani House 133","5538.42"
"Pizza Junction 228","5537.71"
"South Spice 145","5493.93"
"Royal Tandoor 143","5409.79"
"Mumbai Masala 226","5377.35"
"Pizza Junction 40","5333.85"
"South Spice 243","5328.49"
"Curry Kingdom 179","5274.47"
"The Food Studio 77","5228.25"
"Chai & Chat 214","5223.16"
"Annapurna Bhavan 223","5209.31"
"Royal Tandoor 54","5206.84"
"Taste of Punjab 167","5153.39"
"The Hungry Panda 46","5077.01"
"Golden Spoon 67","5049.71"
"Caf̩ Masaledar 232","4988.42"
"Masala Magic 238","4949.20"
"Chai & Chat 25","4910.43"
"Rasoi Ghar 150","4845.14"
"Golden Spoon 255","4782.22"
"Bombay Bistro 31","4735.75"
"Tandoori Nights 127","4727.45"
"Taste of Punjab 274","4711.23"
"Masala Magic 117","4704.60"
"Curry Kingdom 278","4661.41"
"The Food Studio 94","4605.59"
"Annapurna Bhavan 115","4588.65"
"Urban Tadka 286","4587.98"
"Mughal Mahal 205","4586.87"
"Dragon Wok 297","4564.41"
"Golden Spoon 140","4557.62"
"Taste of Punjab 16","4522.62"
"Rasoi Ghar 95","4502.08"
"Masala Magic 21","4496.29"
"Pizza Junction 148","4484.77"
"Flavours of India 195","4410.94"
"Caf̩ Masaledar 47","4406.02"
"Biryani House 239","4390.06"
"Royal Tandoor 4","4359.09"
"Dragon Wok 220","4343.35"
"The Food Studio 99","4317.79"
"Annapurna Bhavan 126","4305.80"
"Spice Villa 159","4300.69"
"Chutney Express 118","4286.45"
"Delhi Darbar 181","4215.27"
"Pizza Junction 207","4200.31"
"Mumbai Masala 244","4171.86"
