"restaurant_name","rating","total_revenue"
"Delhi Darbar 176",3.5,"13877.56"
"Burger Factory 92",3.7,"13162.58"
"Urban Tadka 288",3.6,"12386.44"
"Golden Spoon 41",4.9,"11065.40"
"Saffron Delight 71",3.4,"11001.43"
"Saffron Delight 212",4.9,"10926.50"
"Pizza Junction 213",4.9,"9479.48"
"Chai & Chat 200",4.6,"9419.76"
"The Food Studio 147",4.7,"9413.07"
"Mumbai Masala 252",4.6,"9088.22"
"Spice Villa 295",4.4,"8926.39"
"Pizza Junction 161",4,"8906.70"
"Spice Villa 253",3.8,"8782.96"
"Kolkata Kitchen 56",3.9,"8725.18"
"Punjabi Dhaba 112",3,"8374.05"
"The Food Studio 86",3.7,"8230.37"
"Dragon Wok 215",4,"8108.65"
"Biryani House 201",3.8,"8083.05"
"Pizza Junction 156",3.1,"7956.84"
"Mumbai Masala 146",4.6,"7868.08"
"Bombay Bistro 296",4.9,"7841.98"
"Punjabi Dhaba 276",4.9,"7791.88"
"Delhi Darbar 120",4.4,"7763.58"
"Biryani House 285",4.4,"7662.93"
"Chai & Chat 284",3.1,"7649.69"
"Dragon Wok 242",5,"7591.44"
"Golden Spoon 249",4.9,"7541.99"
"Dragon Wok 158",3.8,"7537.08"
"Annapurna Bhavan 168",3.9,"7496.39"
"Mughal Mahal 237",3.8,"7457.34"
"Delhi Darbar 155",3.8,"7374.86"
"Golden Spoon 74",3.3,"7271.42"
"Delhi Darbar 174",3.3,"7169.82"
"Masala Magic 55",4.1,"7137.17"
"The Curry Leaf 103",4.6,"7027.01"
"South Spice 93",4,"6982.75"
"Annapurna Bhavan 300",4.1,"6956.08"
"The Curry Leaf 142",4,"6948.59"
"Urban Tadka 259",4.1,"6866.20"
"Masala Magic 63",4.7,"6786.59"
"Chutney Express 172",3.1,"6740.17"
"Dragon Wok 184",4.1,"6702.09"
"Punjabi Dhaba 136",3,"6686.82"
"Flavours of India 35",3.9,"6658.59"
"Chutney Express 177",4.2,"6648.56"
