"order_id","restaurant_name","delivery_time"
3,"Biryani House 138",60
14,"Mughal Mahal 164",60
29,"Mughal Mahal 237",60
52,"Flavours of India 251",60
61,"The Hungry Panda 85",60
76,"Kolkata Kitchen 204",60
178,"Pizza Junction 33",60
240,"Burger Factory 92",60
284,"Delhi Darbar 39",60
368,"Annapurna Bhavan 223",60
386,"Punjabi Dhaba 112",60
395,"Rasoi Ghar 188",60
402,"Mumbai Masala 252",60
449,"Bombay Bistro 211",60
501,"Curry Kingdom 12",60
539,"Royal Tandoor 289",60
647,"Dragon Wok 79",60
682,"Flavours of India 251",60
693,"Curry Kingdom 179",60
825,"Punjabi Dhaba 136",60
849,"Taste of Punjab 248",60
865,"The Food Studio 99",60
877,"Punjabi Dhaba 222",60
905,"Annapurna Bhavan 168",60
926,"Dragon Wok 79",60
941,"South Spice 123",60
944,"Mughal Mahal 237",60
961,"Masala Magic 69",60
983,"Curry Kingdom 261",60
995,"Biryani House 133",60
30,"Golden Spoon 203",59
93,"Rasoi Ghar 150",59
156,"Taste of Punjab 267",59
160,"The Curry Leaf 142",59
203,"Dragon Wok 215",59
230,"Curry Kingdom 210",59
344,"Dragon Wok 52",59
345,"Kolkata Kitchen 122",59
357,"Chai & Chat 173",59
403,"Bombay Bistro 189",59
443,"Saffron Delight 45",59
541,"Royal Tandoor 143",59
555,"The Food Studio 99",59
591,"Annapurna Bhavan 223",59
684,"Dragon Wok 79",59
707,"Biryani House 138",59
741,"Golden Spoon 149",59
760,"Flavours of India 169",59
787,"Golden Spoon 249",59
835,"Taste of Punjab 167",59
879,"Kolkata Kitchen 122",59
887,"Flavours of India 216",59
913,"Rasoi Ghar 22",59
958,"South Spice 34",59
19,"Annapurna Bhavan 194",58
70,"Chai & Chat 284",58
71,"Delhi Darbar 155",58
131,"South Spice 291",58
144,"The Curry Leaf 151",58
169,"Taste of Punjab 124",58
177,"Urban Tadka 288",58
225,"Chai & Chat 282",58
235,"Golden Spoon 199",58
297,"Mumbai Masala 96",58
303,"Burger Factory 88",58
319,"Caf̩ Masaledar 47",58
321,"Taste of Punjab 267",58
323,"The Food Studio 147",58
401,"Chai & Chat 26",58
451,"South Spice 291",58
474,"Chai & Chat 17",58
480,"Saffron Delight 45",58
513,"Burger Factory 88",58
518,"Rasoi Ghar 250",58
530,"Pizza Junction 213",58
544,"Delhi Darbar 176",58
578,"Masala Magic 55",58
599,"Delhi Darbar 176",58
636,"Madras Cafe 48",58
642,"Pizza Junction 213",58
660,"Flavours of India 186",58
718,"Golden Spoon 255",58
766,"Mumbai Masala 244",58
828,"Curry Kingdom 287",58
841,"Pizza Junction 228",58
847,"The Curry Leaf 27",58
859,"Saffron Delight 175",58
962,"Flavours of India 35",58
973,"Annapurna Bhavan 126",58
978,"Mumbai Masala 146",58
999,"The Hungry Panda 268",58
1000,"Golden Spoon 249",58
54,"Punjabi Dhaba 233",57
186,"Biryani House 241",57
232,"Taste of Punjab 231",57
234,"Taste of Punjab 248",57
471,"Spice Villa 253",57
476,"Urban Tadka 288",57
516,"South Spice 34",57
523,"Annapurna Bhavan 223",57
542,"Curry Kingdom 58",57
602,"Tandoori Nights 127",57
643,"Urban Tadka 269",57
677,"Golden Spoon 203",57
697,"Punjabi Dhaba 11",57
717,"Pizza Junction 62",57
784,"Dragon Wok 242",57
816,"Curry Kingdom 12",57
819,"Punjabi Dhaba 233",57
855,"Dragon Wok 180",57
888,"Bombay Bistro 31",57
904,"Annapurna Bhavan 126",57
925,"Punjabi Dhaba 276",57
971,"Chai & Chat 65",57
998,"The Curry Leaf 137",57
23,"Taste of Punjab 266",56
41,"Flavours of India 251",56
57,"Masala Magic 281",56
66,"Golden Spoon 74",56
148,"Mumbai Masala 135",56
152,"Chai & Chat 258",56
157,"Pizza Junction 213",56
166,"Pizza Junction 207",56
215,"Chai & Chat 214",56
223,"Golden Spoon 41",56
241,"Urban Tadka 288",56
275,"Chutney Express 100",56
293,"Mumbai Masala 135",56
316,"Taste of Punjab 248",56
347,"South Spice 93",56
417,"Rasoi Ghar 250",56
457,"Pizza Junction 161",56
690,"Chai & Chat 284",56
701,"Punjabi Dhaba 136",56
